Accipitriformes, "Les rapaces diurnes"
Anseriformes,"Les palmipèdes"
Bucerotiformes,"Les calaos, huppes, etc."
Caprimulgiformes,"Les engoulevent, ibijaux, etc."
Charadriiformes,"Les oiseaux aquatiques"
Columbiformes,"Les pigeons, tourterelles, colombes etc"
Coraciiformes,"Les martins, rolliers, guêpiers, etc"
Cuculiformes,"Les coucous"
Eurypygiformes,"Les caurale, cagous, etc"
Falconiformes,"Les faucons"
Galliformes,"Les gallinacés"
Gaviiformes,"Les plongeons"
Gruiformes,"Les grues, râles etc."
Leptosomatiformes,"Les courols voudriou"
Opisthocomiformes,"Les hoatzins"
Otidiformes,"Les outardes"
Passeriformes,"Les passereaux"
Pelecaniformes,"Les échassiers et pélicans"
Phaethontiformes,"Les phaétons"
Phoenicopteriformes,"Les flamands"
Piciformes,"Les toucans, barbicans, cabézons, etc."
Podicipediformes,"Les oiseaux aquatiques de petite taille"
Psittaciformes,"Les perroquets, perruches, loris ou conures"
Sphenisciformes,"Les manchots"
Strigiformes,"Les rapaces nocturnes"
Tinamiformes,"Les dodus, tinamous, etc"
Trogoniformes,"Les quetzal, etc."
